代码,日期,买入价,卖出价,收益率
600058,2003-06-23,10.03,10.0,-0.3
600058,2005-11-16,5.51,5.54,0.54
600058,2018-06-26,8.21,8.35,1.71
002284,2011-06-01,11.58,11.4,-1.55
002284,2018-06-26,5.71,5.82,1.93
600644,1994-02-24,7.15,6.74,-5.73
600644,1996-01-24,5.05,5.34,5.74
600644,2000-12-01,12.72,12.91,1.49
600644,2016-01-18,7.05,7.26,2.98
688707,2023-05-11,32.4,32.4,0.0
688707,2023-06-13,29.37,29.83,1.57
688707,2024-06-12,10.8,10.71,-0.83
000906,2002-05-09,15.21,14.31,-5.92
000906,2012-07-23,6.47,6.05,-6.49
000906,2017-06-08,8.66,9.08,4.85
000906,2018-08-08,5.07,5.12,0.99
002196,2017-06-15,11.51,11.25,-2.26
002196,2017-11-28,9.71,8.89,-8.44
002088,2011-06-22,13.42,14.05,4.69
002088,2021-12-13,22.2,21.7,-2.25
002088,2022-11-02,20.39,21.19,3.92
002088,2022-11-03,20.39,20.91,2.55
002088,2023-05-11,19.31,19.06,-1.29
000582,2018-06-25,7.52,7.45,-0.93
603739,2021-06-21,16.16,17.0,5.2
002761,2018-07-06,19.08,19.17,0.47
603823,2023-06-30,12.4,12.09,-2.5
603823,2023-08-02,11.12,10.84,-2.52
002246,2010-02-01,16.0,15.93,-0.44
002246,2018-06-26,8.61,8.76,1.74
002246,2021-02-10,6.14,6.73,9.61
000530,1997-07-22,17.49,15.09,-13.72
000530,2011-06-01,10.99,10.86,-1.18
000530,2017-12-08,5.55,5.54,-0.18
000811,2022-02-18,11.93,13.02,9.14
002614,2014-05-29,17.5,17.42,-0.46
002614,2019-09-04,11.97,12.68,5.93
600961,2013-03-26,6.35,6.02,-5.2
600961,2017-12-08,8.23,8.21,-0.24
600961,2022-05-05,7.58,7.38,-2.64
600961,2024-07-29,7.7,7.72,0.26
600961,2024-07-30,7.69,7.72,0.39
000683,2024-09-18,5.04,5.48,8.73
002777,2020-08-18,25.71,25.33,-1.48
002777,2021-01-14,19.63,19.75,0.61
