代码,日期,3日收益,5日收益,10日收益,20日收益
002284,2010-07-06,1.0957324106113107,-0.3460207612456674,-5.0,-5.0
600644,2007-01-11,-0.2347417840375537,-0.2347417840375537,-0.2347417840375537,-0.2347417840375537
600644,2008-08-15,-5.0,-5.0,-5.0,-5.0
000906,2010-07-06,3.5812672176308515,10.192837465564741,10.192837465564741,10.192837465564741
000906,2017-04-26,1.7477203647416446,-1.5957446808510702,-5.0,-5.0
000906,2022-11-03,1.8823529411764721,5.411764705882363,5.88235294117647,5.88235294117647
002196,2008-10-31,9.596928982725528,26.679462571976963,21.305182341650678,21.305182341650678
002196,2017-01-20,1.2693935119887145,0.6582040432534113,2.9149036201222427,5.0305594734367665
002196,2022-09-06,2.863961813842463,3.1026252983293525,-5.0,-5.0
002088,2018-10-31,3.638253638253653,1.9750519750519884,4.781704781704791,4.885654885654893
000582,2009-08-21,-5.0,-5.0,-5.0,-5.0
603739,2022-04-29,5.567300916138132,3.735024665257231,3.735024665257231,3.735024665257231
002761,2022-08-08,2.621127879269262,-0.6751389992057115,-0.7545671167593379,-5.0
002761,2022-08-09,0.7971303308090846,0.7971303308090846,0.7971303308090846,0.7971303308090846
603823,2017-05-31,-5.0,-5.0,-5.0,-5.0
600179,2005-05-19,-5.0,-5.0,-5.0,-5.0
600179,2005-05-20,-5.0,-5.0,-5.0,-5.0
600179,2008-04-08,-5.0,-5.0,-5.0,-5.0
002246,2008-10-21,-1.253132832080207,-1.253132832080207,-1.253132832080207,-1.253132832080207
002246,2017-06-06,7.3245952197378505,7.3245952197378505,7.3245952197378505,7.3245952197378505
002246,2022-04-29,7.701863354037257,7.701863354037257,7.701863354037257,7.701863354037257
000530,2010-07-06,2.4327784891165223,3.841229193341867,7.682458386683747,19.078104993597968
000811,2008-04-08,-5.0,-5.0,-5.0,-5.0
603901,2018-10-17,-5.0,-5.0,-5.0,-5.0
002614,2012-05-02,4.9627791563275405,5.872622001654267,5.872622001654267,5.872622001654267
600961,2010-05-13,-5.0,-5.0,-5.0,-5.0
600961,2011-01-28,4.133998574483251,4.133998574483251,4.133998574483251,4.133998574483251
600352,2005-11-02,-0.6060606060606066,-0.6060606060606066,-0.6060606060606066,-0.6060606060606066
000683,2011-01-27,5.5483870967741895,6.064516129032267,11.870967741935482,18.838709677419367
002777,2023-09-26,1.2378094523630845,1.2003000750187558,-5.0,-5.0
002777,2025-01-09,-5.0,-5.0,-5.0,-5.0
603070,2025-04-14,-1.2427506213753137,-1.2427506213753137,-1.2427506213753137,-1.2427506213753137
002055,2016-12-16,2.3939521209575823,1.9319613607727881,-0.41999160016798776,-5.0
002055,2017-01-20,0.3927344133529616,0.3927344133529616,0.3927344133529616,0.3927344133529616
000726,2001-05-30,2.8169014084507067,4.647887323943664,3.6619718309859253,5.985915492957757
000726,2010-05-13,-5.0,-5.0,-5.0,-5.0
600116,2013-05-07,2.376425855513308,1.8060836501901263,5.893536121673013,6.558935361216743
002908,2018-10-31,6.4129301355578745,3.0239833159541285,5.265901981230456,5.265901981230456
603050,2018-08-09,0.9322033898305037,0.9322033898305037,0.9322033898305037,0.9322033898305037
600732,2012-08-30,2.4916943521594743,3.6544850498338977,5.813953488372102,5.813953488372102
600867,1998-08-20,0.7377049180327858,0.7377049180327858,0.7377049180327858,0.7377049180327858
000852,2007-11-15,-5.0,-5.0,-5.0,-5.0
000852,2008-10-21,-0.7766990291262142,-0.7766990291262142,-0.7766990291262142,-0.7766990291262142
000852,2010-07-06,2.1556886227544876,0.5988023952095893,5.9880239520958085,8.263473053892211
002635,2020-11-05,0.5741127348642977,0.5741127348642977,0.5741127348642977,0.5741127348642977
002635,2025-04-14,-2.2171253822630037,-2.2171253822630037,-2.2171253822630037,-2.2171253822630037
002322,2014-05-05,0.49652432969214433,0.49652432969214433,0.49652432969214433,0.49652432969214433
600711,1998-11-26,-2.813299232736581,-2.813299232736581,-2.813299232736581,-2.813299232736581
600711,2005-12-09,2.7777777777777732,3.5493827160493754,3.8580246913580245,4.3209876543209775
600711,2010-07-06,3.817427385892108,4.39834024896265,6.307053941908712,8.38174273858921
600711,2013-07-02,3.0178326474622734,-5.0,-5.0,-5.0
600651,1997-08-07,-2.9562982005141443,-2.9562982005141443,-2.9562982005141443,-2.9562982005141443
