序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3610,603912,佳力图,8.68,0.12,0.01,128929.0,111915727.0,2.19,8.76,8.57,8.63,8.67,0.96,2.38,-80.65,2.69,4703182519.0,4703182519.0,0.0,-0.12,-12.85,5.85,603912.SS
3612,603065,宿迁联盛,8.39,0.12,0.01,40572.0,33880478.0,1.31,8.41,8.3,8.41,8.38,0.99,2.06,296.12,1.74,3515137929.0,1650090287.0,0.12,0.0,0.24,17.02,603065.SS
3613,000848,承德露露,8.66,0.12,0.01,90833.0,78609001.67,0.81,8.69,8.62,8.65,8.65,0.79,0.9,17.27,2.51,8833200641.0,8756507681.0,0.0,0.12,2.61,-0.12,000848.SZ
3616,688299,长阳科技,17.35,0.12,0.02,41667.0,72096454.0,2.31,17.54,17.14,17.53,17.33,0.78,1.45,-700.71,2.39,4986266711.0,4986266711.0,0.0,-0.17,-25.76,18.03,688299.SS
3619,002034,旺能环境,16.13,0.12,0.02,18849.0,30393834.44,0.56,16.17,16.08,16.09,16.11,0.78,0.44,9.52,1.01,7000177760.0,6965437159.0,0.06,0.06,-4.44,7.46,002034.SZ
3622,001979,招商蛇口,8.77,0.11,0.01,371810.0,325797290.1,1.94,8.88,8.71,8.88,8.76,0.77,0.44,23.75,0.8,79070602140.0,73790983631.0,0.0,0.0,-8.84,-12.74,001979.SZ
3624,600602,云赛智联,17.89,0.11,0.02,77387.0,138413992.0,0.9,17.98,17.82,17.9,17.87,0.78,0.72,126.37,5.08,24467678110.0,19219280491.0,0.0,0.11,-14.97,13.37,600602.SS
3625,601512,中新集团,8.78,0.11,0.01,71829.0,62834020.0,1.82,8.84,8.68,8.72,8.77,1.32,0.48,11.89,0.87,13160254200.0,13160254200.0,0.0,-0.11,-6.2,16.29,601512.SS
3626,600251,冠农股份,9.22,0.11,0.01,95323.0,87820042.0,2.39,9.34,9.12,9.18,9.21,0.83,1.23,15.48,1.89,7163880835.0,7163880835.0,-0.11,0.11,12.85,29.68,600251.SS
3627,920926,鸿智科技,17.72,0.11,0.02,8670.0,15480445.85,2.2,18.06,17.67,17.76,17.7,0.82,1.08,56.37,5.78,1565769980.0,1420831756.0,-0.28,-0.28,-13.22,35.37,920926.SZ
3629,601059,信达证券,17.83,0.11,0.02,178606.0,318211113.0,0.51,17.86,17.77,17.8,17.81,0.44,2.58,32.03,2.84,57822690000.0,12331228000.0,0.0,0.0,-4.91,19.58,601059.SS
3630,688132,邦彦技术,18.79,0.11,0.02,9579.0,18041754.0,0.85,18.93,18.77,18.93,18.77,0.68,0.88,-30.06,2.07,2860311583.0,2038634541.0,-0.11,-0.05,-0.27,10.66,688132.SS
3631,002878,元隆雅图,17.63,0.11,0.02,65062.0,114415126.0,1.53,17.67,17.4,17.55,17.61,0.51,2.76,385.52,3.59,4618914147.0,4159495934.0,-0.06,0.0,-3.34,6.98,002878.SZ
3632,600894,广日股份,9.21,0.11,0.01,24519.0,22612561.0,0.76,9.27,9.2,9.21,9.2,0.72,0.29,14.78,0.91,7843957714.0,7765360338.0,0.0,-0.11,-5.83,-33.74,600894.SS
3634,601136,首创证券,19.03,0.11,0.02,79284.0,150742473.0,0.68,19.06,18.93,18.93,19.01,0.72,0.29,48.54,3.79,52015342214.0,52015342214.0,0.0,0.0,-15.27,-12.75,601136.SS
3635,605218,伟时电子,18.62,0.11,0.02,12323.0,22881262.0,1.29,18.67,18.43,18.63,18.6,0.82,0.58,122.35,3.0,3962959025.0,3962959025.0,0.16,0.0,-17.35,-30.05,605218.SS
3637,920266,生物谷,9.35,0.11,0.01,5256.0,4916147.67,3.21,9.55,9.25,9.55,9.34,0.6,0.44,-24.49,1.3,1159400065.0,1107885773.0,-0.21,0.0,-10.7,-0.43,920266.SZ
3639,601952,苏垦农发,9.12,0.11,0.01,55327.0,50403441.0,0.44,9.13,9.09,9.09,9.11,0.85,0.4,31.0,1.85,12567360000.0,12567360000.0,0.0,0.0,-2.77,-4.2,601952.SS
3640,002041,登海种业,9.48,0.11,0.01,52952.0,50139710.5,0.84,9.51,9.43,9.49,9.47,0.59,0.6,115.88,2.3,8342400000.0,8342400000.0,0.0,0.0,2.27,-12.71,002041.SZ
3641,002332,仙琚制药,9.08,0.11,0.01,68696.0,62353918.5,0.55,9.1,9.05,9.06,9.07,0.72,0.7,16.56,1.5,8981980183.0,8939929296.0,0.0,0.0,-7.25,-4.82,002332.SZ
3642,002091,江苏国泰,9.14,0.11,0.01,157109.0,143250582.43,1.53,9.18,9.04,9.13,9.13,0.79,0.98,11.93,0.95,14876701422.0,14599021596.0,-0.11,0.0,4.58,33.43,002091.SZ
3643,600062,华润双鹤,18.48,0.11,0.02,35815.0,66150258.0,0.65,18.52,18.4,18.47,18.46,0.9,0.35,10.67,1.7,19196238766.0,19089431426.0,-0.05,0.0,-1.86,-4.4,600062.SS
3644,002866,传艺科技,17.69,0.11,0.02,51546.0,91130309.0,1.53,17.78,17.51,17.67,17.67,0.69,2.84,55.76,2.47,5121648709.0,3206604491.0,-0.06,-0.23,-7.77,9.33,002866.SZ
3645,920729,永顺生物,8.82,0.11,0.01,6232.0,5510180.01,1.14,8.9,8.8,8.85,8.81,0.53,0.81,59.71,3.64,2410947000.0,677596862.0,-0.23,-0.34,-12.06,35.69,920729.SZ
3647,603993,洛阳钼业,18.7,0.11,0.02,1384391.0,2561003435.0,2.89,18.75,18.21,18.45,18.68,0.74,0.79,21.01,5.15,400073600291.0,326517748691.0,0.11,0.27,48.18,192.19,603993.SS
3649,688553,汇宇制药-W,18.14,0.11,0.02,35753.0,64858974.0,1.77,18.31,17.99,18.09,18.12,1.0,1.04,-113.44,2.06,7684104000.0,6231810612.0,0.17,0.06,-27.47,23.07,688553.SS
3650,920701,豪声电子,18.67,0.11,0.02,12126.0,22675983.05,2.47,18.97,18.51,18.78,18.65,0.6,1.21,34.87,3.08,2561524000.0,1870869171.0,-0.05,-0.11,-6.6,-7.53,920701.SZ
3652,600299,安迪苏,8.94,0.11,0.01,32754.0,29265713.0,0.78,8.97,8.9,8.94,8.93,0.62,0.12,18.16,1.42,23976197381.0,23976197381.0,0.0,-0.22,-5.5,-27.73,600299.SS
