代码,触发日期,触发价,T+1开盘涨幅,最高冲击%,持有10日收益%,名称
603165,2025-07-21,12.8,0.0,2.66,-5.0,荣晟环保
603020,2025-10-22,11.35,0.53,7.49,-2.64,爱普股份
000630,2025-08-06,4.03,0.5,7.44,3.97,铜陵有色
000888,2025-12-01,14.16,2.61,9.46,-9.96,峨眉山Ａ
600151,2025-08-26,8.73,0.23,5.15,-9.51,航天机电
600748,2025-08-05,3.72,-2.69,8.06,0.81,上实发展
600773,2025-07-21,11.15,10.04,21.08,-3.41,西藏城投
000712,2025-07-24,14.85,2.42,7.74,-2.63,锦龙股份
600399,2025-07-11,5.8,-1.55,5.86,2.93,抚顺特钢
603817,2025-09-04,6.66,0.0,4.65,-4.05,海峡环保
002203,2025-08-01,11.9,1.34,12.18,12.18,海亮股份
600995,2025-09-23,12.67,-1.34,5.52,1.74,南网储能
600233,2025-07-10,13.97,0.0,6.94,6.73,圆通速递
002331,2025-08-06,8.91,9.99,9.99,-0.22,皖通科技
002534,2025-07-21,12.67,6.55,20.99,0.63,西子洁能
601696,2025-07-10,11.85,10.04,28.27,24.81,中银证券
002235,2025-11-14,8.13,-1.6,21.53,14.27,安妮股份
603577,2025-11-05,10.76,-2.51,1.3,-8.09,汇金通
603798,2025-07-16,12.1,1.98,8.02,-3.64,康普顿
