代码,触发日期,触发价,T+1开盘涨幅,最高冲击%,持有10日收益%,MACD增速,状态,名称
000683,2025-07-21,5.47,0.0,14.08,4.02,2.48,持有期满,博源化工
002908,2025-07-04,10.76,1.39,21.19,4.55,10.85,持有期满,德生科技
002159,2025-07-24,16.18,0.06,1.24,-5.0,-6.06,止损离场,三特索道
600730,2025-07-25,7.18,-0.42,22.14,14.07,1.8,持有期满,中国高科
603858,2025-08-28,20.02,0.9,0.95,-5.0,3.7,止损离场,步长制药
002283,2025-08-19,6.99,1.57,4.15,-5.0,-1.11,止损离场,天润工业
002439,2025-08-01,16.65,-0.06,3.24,-1.5,-1.8,持有期满,启明星辰
000027,2025-10-23,7.51,2.26,3.06,-5.0,4.9,止损离场,深圳能源
002268,2025-08-21,19.37,-0.36,2.07,-5.0,-1.17,止损离场,电科网安
600109,2025-07-11,9.56,1.26,1.26,0.0,1.81,持有期满,国金证券
000680,2025-07-21,9.99,0.8,12.61,-2.2,5.91,持有期满,山推股份
000551,2025-12-22,12.53,2.08,33.12,33.12,2.57,持有期满,创元科技
600975,2025-07-21,6.51,-0.92,2.92,-5.0,4.56,止损离场,新五丰
600219,2025-07-21,4.06,0.0,3.45,-2.71,-0.75,持有期满,南山铝业
600098,2025-09-01,6.88,-0.29,4.36,-0.87,4.36,持有期满,广州发展
000425,2025-07-21,8.74,0.0,9.84,-5.0,1.72,止损离场,徐工机械
002998,2025-09-23,8.88,0.23,0.23,-5.0,-1.47,止损离场,优彩资源
600997,2025-07-22,6.39,1.72,2.35,-5.0,2.92,止损离场,开滦股份
000571,2025-09-25,5.32,-0.94,0.56,-5.0,8.6,止损离场,新大洲A
002361,2025-07-29,6.91,1.3,9.26,5.64,-3.24,持有期满,神剑股份
603231,2025-08-29,19.59,2.76,4.13,-5.0,12.68,止损离场,索宝蛋白
002026,2025-08-04,13.53,0.0,5.4,3.99,4.13,持有期满,山东威达
600226,2025-08-18,3.2,2.19,24.69,19.69,21.69,持有期满,亨通股份
002423,2025-08-28,14.23,2.67,7.52,-5.0,2.49,止损离场,中粮资本
002023,2025-08-20,12.03,1.5,9.98,-3.33,-2.05,持有期满,海特高新
